36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@1254445@s.s@1st Half - Winner
15@s.s@Matchbet + both teams to score@s.s@Winner + Both teams to score@s.s@1@s.s@Football@s.s@1162491@s.s@Matchbet + Both  Teams to Score
14@s.s@Asian Handicap@s.s@Asian Handicap@s.s@1@s.s@Football@s.s@1162501@s.s@Asian Handicap
5@s.s@First half result@s.s@1st half result@s.s@1@s.s@Football@s.s@1162506@s.s@1st half – 3 way
25@s.s@Quarter with most points@s.s@Quarter with most points@s.s@2@s.s@Basketball@s.s@1254467@s.s@Highest Scoring Quarter
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@1254468@s.s@2-way Odds
24@s.s@Minute interval the first goal is scored in@s.s@1st goal scored - Minute interval@s.s@1@s.s@Football@s.s@1162598@s.s@1st. Goal - ( Interval 15 Min )
4@s.s@Totals@s.s@Goals - over/under@s.s@1@s.s@Football@s.s@1162471@s.s@Over / Under
79@s.s@1st set winner@s.s@1st set winner@s.s@6@s.s@Tennis@s.s@1254469@s.s@1st Set Winner
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@1254488@s.s@ Correct Set Score (Best Of 3)
76@s.s@Correct score@s.s@Correct score@s.s@6@s.s@Tennis@s.s@1254470@s.s@Correct Set Score (best of 3 sets)
81@s.s@Double result@s.s@Double result@s.s@6@s.s@Tennis@s.s@1254473@s.s@Double Result
78@s.s@Total games odd/even@s.s@Total games odd/even@s.s@6@s.s@Tennis@s.s@1254474@s.s@Odd/Even
23@s.s@Penalty shootout yes o no@s.s@Penalty - yes/no@s.s@1@s.s@Football@s.s@1162603@s.s@Penalties after FT ?
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@1162468@s.s@3 way
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@1254485@s.s@ First Map Winner
75@s.s@Set handicap@s.s@Set handicap@s.s@6@s.s@Tennis@s.s@1254475@s.s@Set handicap
188@s.s@Match Winner@s.s@Match Winner@s.s@39@s.s@Table Tennis@s.s@1254510@s.s@Winner
69@s.s@Half time results@s.s@Half time results@s.s@4@s.s@Rugby Union@s.s@1254507@s.s@1X2 - First Half
67@s.s@Total points@s.s@Total points@s.s@4@s.s@Rugby Union@s.s@1254503@s.s@Over/Under
68@s.s@Half time/full time results@s.s@Half time/full time results@s.s@4@s.s@Rugby Union@s.s@1254504@s.s@Halftime / Fulltime
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@1257232@s.s@ Correct Set Score (Best Of 3)
198@s.s@Runs over/under@s.s@Total runs over/under@s.s@44@s.s@Baseball@s.s@1254438@s.s@Totals
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@1257229@s.s@ First Map Winner
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@1254698@s.s@Correct Score
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@1254697@s.s@Over / Under
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1255095@s.s@2-way
21@s.s@Double bet chance@s.s@Double bet chance@s.s@1@s.s@Football@s.s@1254695@s.s@Double Chance
3@s.s@2-way@s.s@Draw no bet@s.s@1@s.s@Football@s.s@1254696@s.s@Draw No Bet
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@1254694@s.s@3 way
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@1254652@s.s@Winner (Sidebet)
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1254653@s.s@2-way
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@1254793@s.s@ Correct Set Score (Best Of 3)
82@s.s@Total games over/under@s.s@Total games over/under@s.s@6@s.s@Tennis@s.s@1254476@s.s@Over/Under
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@1254790@s.s@ First Map Winner
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1254789@s.s@ Winner
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@1254651@s.s@2-way Odds
14@s.s@Asian Handicap@s.s@Asian Handicap@s.s@1@s.s@Football@s.s@1254834@s.s@Asian Handicap
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@1254490@s.s@ First Map Winner
84@s.s@Total number of sets@s.s@Total number of sets@s.s@6@s.s@Tennis@s.s@1254482@s.s@Total Number of Sets (best of 5)
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1254489@s.s@ Winner
42@s.s@Point spread (handicap)@s.s@Handicap@s.s@2@s.s@Basketball@s.s@1254444@s.s@Handicap (Incl. OT)
