147@s.s@Winner@s.s@Winner@s.s@38@s.s@Handball@s.s@704780@s.s@Match Winner - Match winner
201@s.s@1st Inning winner@s.s@1st Inning winner@s.s@44@s.s@Baseball@s.s@704661@s.s@Innings - Winner of Inning 1 (1X2)
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@1267689@s.s@Correct Score. - Correct score max 9 goals
76@s.s@Correct score@s.s@Correct score@s.s@6@s.s@Tennis@s.s@822480@s.s@Correct Score - Correct Score Set 5
33@s.s@2nd quarter winner@s.s@2nd quarter winner@s.s@2@s.s@Basketball@s.s@704740@s.s@2nd Quarter - 2nd Quarter Result
189@s.s@Points Over/Under@s.s@Points Over/Under@s.s@39@s.s@Table Tennis@s.s@702203@s.s@Match - Match Total Points
166@s.s@2nd Quarter Points@s.s@2nd Quarter Points@s.s@2@s.s@Basketball@s.s@704732@s.s@2nd Quarter - 2nd Quarter Total Points
29@s.s@2nd quarter odd/even@s.s@2nd quarter odd/even@s.s@2@s.s@Basketball@s.s@704760@s.s@2nd Quarter - 2nd Quarter Total Points - Odd/Even
170@s.s@2nd half points@s.s@2nd half points@s.s@2@s.s@Basketball@s.s@704733@s.s@2nd Half - 2nd Half Total Points
30@s.s@3rd quarter odd/even@s.s@3rd quarter odd/even@s.s@2@s.s@Basketball@s.s@704746@s.s@3rd Quarter - 3rd Quarter Total Points - Odd/Even
91@s.s@Championship outright@s.s@Championship outright@s.s@9@s.s@Cycling@s.s@967547@s.s@Winner - Live Winner
50@s.s@Draw no bet@s.s@Draw no bet@s.s@5@s.s@Rugby League@s.s@1255760@s.s@Draw no bet - Draw no Bet
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@702198@s.s@Correct Score - Correct Score
219@s.s@Total Cards@s.s@Total Cards@s.s@1@s.s@Football@s.s@702993@s.s@Cards - Number of cards
34@s.s@3rd quarter winner@s.s@3rd quarter winner@s.s@2@s.s@Basketball@s.s@704742@s.s@3rd Quarter - 3rd Quarter Winner
55@s.s@Total points@s.s@Total points@s.s@5@s.s@Rugby League@s.s@1255761@s.s@Total Points Over/Under - Total Points
74@s.s@Game Handicap@s.s@Game Handicap@s.s@6@s.s@Tennis@s.s@1295128@s.s@Handicap - Games Handicap
57@s.s@Half time results@s.s@Half time results@s.s@5@s.s@Rugby League@s.s@1255766@s.s@1st Half - 1st Half Winner
150@s.s@Winner 2 way@s.s@Winner 2 way@s.s@29@s.s@MMA-UFC@s.s@704918@s.s@Match Winner - Match Winner
47@s.s@Championship outright@s.s@Championship outright@s.s@3@s.s@Motor@s.s@704513@s.s@Winner - Winner
210@s.s@Both teams to score@s.s@Both teams to score@s.s@44@s.s@Baseball@s.s@704263@s.s@Special Markets - Both Teams To Score
168@s.s@4th Quarter Points@s.s@4th Quarter Points@s.s@2@s.s@Basketball@s.s@704768@s.s@4th Quarter - 4th Quarter Total Points
82@s.s@Total games over/under@s.s@Total games over/under@s.s@6@s.s@Tennis@s.s@1295129@s.s@Total Games Played - Total Games Played
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199969@s.s@Winner - NL West Champion
196@s.s@Match Winner@s.s@Match Winner@s.s@44@s.s@Baseball@s.s@704256@s.s@Moneyline - Moneyline
31@s.s@4th quarter odd/even@s.s@4th quarter odd/even@s.s@2@s.s@Basketball@s.s@704769@s.s@4th Quarter - 4th Quarter Total Points - Odd/Even
167@s.s@3rd Quarter Points@s.s@3rd Quarter Points@s.s@2@s.s@Basketball@s.s@704745@s.s@3rd Quarter - 3rd Quarter Total Points
131@s.s@First team to score@s.s@First team to score@s.s@5@s.s@Rugby League@s.s@1284218@s.s@Other Markets - 1st Scoring Team
196@s.s@Match Winner@s.s@Match Winner@s.s@44@s.s@Baseball@s.s@703871@s.s@Match Winner - Moneyline
33@s.s@2nd quarter winner@s.s@2nd quarter winner@s.s@2@s.s@Basketball@s.s@704726@s.s@2nd Quarter - 2nd Quarter Winner
195@s.s@Winner@s.s@Winner@s.s@37@s.s@TV & Politics@s.s@778116@s.s@Winner - Live Outright Winner
192@s.s@Correct Score@s.s@Correct Score@s.s@39@s.s@Table Tennis@s.s@804727@s.s@Correct Score - Live Correct Score Table Tennis
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@704183@s.s@Goals - Odd/Even number of goals
149@s.s@Handicap@s.s@Handicap@s.s@38@s.s@Handball@s.s@826457@s.s@Handicap - Handicap
200@s.s@Championship outright@s.s@Championship outright@s.s@44@s.s@Baseball@s.s@1199962@s.s@Winner - American League Champion
154@s.s@Draw no bet - 1st half@s.s@Draw no bet - 1st half@s.s@38@s.s@Handball@s.s@826468@s.s@Half - 1. Half Result Draw No Bet
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@702170@s.s@Match Markets - Map 1 - Winner
79@s.s@1st set winner@s.s@1st set winner@s.s@6@s.s@Tennis@s.s@703318@s.s@Sets - Set 1 Winner
202@s.s@Race to 3 runs@s.s@Race to 3 runs@s.s@44@s.s@Baseball@s.s@704449@s.s@Special Markets - Race To 3 Runs
58@s.s@First scoring play@s.s@First scoring play@s.s@5@s.s@Rugby League@s.s@1284217@s.s@Other Markets - 1st Scoring Play
199@s.s@Total runs odd/even@s.s@Total runs odd/even@s.s@44@s.s@Baseball@s.s@704262@s.s@Special Markets - Number of Runs
198@s.s@Runs over/under@s.s@Total runs over/under@s.s@44@s.s@Baseball@s.s@704291@s.s@Match (including extra innings unless specified) - Total Runs
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@704523@s.s@Correct Score - Correct Score - FullTime
4@s.s@Totals@s.s@Goals - over/under@s.s@1@s.s@Football@s.s@893875@s.s@Number of goals - Total Goals
37@s.s@2nd time result@s.s@2nd half Winner@s.s@2@s.s@Basketball@s.s@704736@s.s@2nd Half - 2nd Half Winner
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@704194@s.s@Handicap - 3-way Handicap
21@s.s@Double bet chance@s.s@Double bet chance@s.s@1@s.s@Football@s.s@704179@s.s@Match - Double Chance
162@s.s@Handicap (maps)@s.s@Handicap (maps)@s.s@14@s.s@E-Sports@s.s@702176@s.s@Match Markets - Maps Handicap
80@s.s@2nd set winner@s.s@2nd set winner@s.s@6@s.s@Tennis@s.s@702194@s.s@Sets - Set 2 Winner
78@s.s@Total games odd/even@s.s@Total games odd/even@s.s@6@s.s@Tennis@s.s@922429@s.s@Match - Odd/Even Games
74@s.s@Game Handicap@s.s@Game Handicap@s.s@6@s.s@Tennis@s.s@804340@s.s@Match - Games Handicap
82@s.s@Total games over/under@s.s@Total games over/under@s.s@6@s.s@Tennis@s.s@804339@s.s@Match - Match Games
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@702193@s.s@Match Winner - Match Winner
35@s.s@4th quarter winner@s.s@4th quarter winner@s.s@2@s.s@Basketball@s.s@704766@s.s@4th Quarter - 4th Quarter Result
171@s.s@Overtime@s.s@Overtime@s.s@2@s.s@Basketball@s.s@704758@s.s@Match Markets - Will There Be Overtime?
40@s.s@Total points odd/even@s.s@Total points odd/even@s.s@2@s.s@Basketball@s.s@704608@s.s@Match Markets - Total Points - Odd/Even (Including OT)
41@s.s@total spreads over/under@s.s@Total points over/under@s.s@2@s.s@Basketball@s.s@704236@s.s@Match Markets - Total Points (Including OT)
39@s.s@Winner 2 way@s.s@Winner@s.s@2@s.s@Basketball@s.s@704232@s.s@Match Winner (Including OT) - Match Winner (Including OT)
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@702169@s.s@Match Winner - Match Winner
190@s.s@Games Handicap@s.s@Games Handicap@s.s@39@s.s@Table Tennis@s.s@702700@s.s@Match - Match Game Handicap
188@s.s@Match Winner@s.s@Match Winner@s.s@39@s.s@Table Tennis@s.s@702201@s.s@Match Winner - Match Winner
45@s.s@Second half 1x2@s.s@Second half Winner (1X2)@s.s@2@s.s@Basketball@s.s@704738@s.s@2nd Half - 2nd Half Result
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@703882@s.s@Match Winner - Live Draw No Bet
35@s.s@4th quarter winner@s.s@4th quarter winner@s.s@2@s.s@Basketball@s.s@704764@s.s@4th Quarter - 4th Quarter Winner
77@s.s@1st set total@s.s@1st set total@s.s@6@s.s@Tennis@s.s@804359@s.s@Sets - Set 1 Games
4@s.s@Totals@s.s@Goals - over/under@s.s@1@s.s@Football@s.s@704180@s.s@Number of goals - Match Goals
173@s.s@Total sets - over/under@s.s@Total sets - over/under@s.s@6@s.s@Tennis@s.s@804338@s.s@Match - Total Sets
34@s.s@3rd quarter winner@s.s@3rd quarter winner@s.s@2@s.s@Basketball@s.s@704743@s.s@3rd Quarter - 3rd Quarter Result
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@704615@s.s@Correct Score - Correct Score - Full Time
92@s.s@2-way@s.s@Winner@s.s@10@s.s@Golf@s.s@704460@s.s@Match Winner - Match Winner
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@702383@s.s@Match Winner - Match Result
193@s.s@1st Game Winner@s.s@1st Game Winner@s.s@39@s.s@Table Tennis@s.s@702701@s.s@Games - Game 1 Winner
75@s.s@Set handicap@s.s@Set handicap@s.s@6@s.s@Tennis@s.s@776787@s.s@Handicap - Set Handicap
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@702400@s.s@Correct Score - Correct Score
23@s.s@Penalty shootout yes o no@s.s@Penalty - yes/no@s.s@1@s.s@Football@s.s@702496@s.s@Specials - Penalty
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199967@s.s@Winner - NL Central Champion
10@s.s@Both teams to score@s.s@Both teams to score@s.s@1@s.s@Football@s.s@702430@s.s@Match - Result + Both teams to score
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@702384@s.s@Goals - Number of goals
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199965@s.s@Winner - AL East Champion
49@s.s@Point spread (handicap)@s.s@Handicap@s.s@5@s.s@Rugby League@s.s@1149710@s.s@Handicap - Handicap
56@s.s@Half time/full time results@s.s@Half time/full time results@s.s@5@s.s@Rugby League@s.s@1224235@s.s@Half time/Full time - Double Result
145@s.s@Winning Candidate@s.s@Winning Candidate@s.s@37@s.s@TV & Politics@s.s@704860@s.s@Winner - Winner
3@s.s@2-way@s.s@Draw no bet@s.s@1@s.s@Football@s.s@893602@s.s@Match - Draw No Bet
218@s.s@Total Corners@s.s@Total Corners@s.s@1@s.s@Football@s.s@704543@s.s@Corners - Total Corners
6@s.s@Halftime + Full time result@s.s@Result - Halftime and Full time@s.s@1@s.s@Football@s.s@702392@s.s@Match - Half time/Full time
85@s.s@Championship outright@s.s@Championship outright@s.s@6@s.s@Tennis@s.s@836532@s.s@Winner - Winner
195@s.s@Winner@s.s@Winner@s.s@37@s.s@TV & Politics@s.s@708880@s.s@Winner - Winner
79@s.s@1st set winner@s.s@1st set winner@s.s@6@s.s@Tennis@s.s@804926@s.s@More Markets - Set 1 Winner
80@s.s@2nd set winner@s.s@2nd set winner@s.s@6@s.s@Tennis@s.s@804925@s.s@More Markets - Set 2 Winner
59@s.s@Championship outright@s.s@Championship outright@s.s@5@s.s@Rugby League@s.s@1149705@s.s@Winner - Winner Rugby League
48@s.s@3-way@s.s@Winner@s.s@5@s.s@Rugby League@s.s@1149706@s.s@Match Winner - Match Winner
50@s.s@Draw no bet@s.s@Draw no bet@s.s@5@s.s@Rugby League@s.s@1149707@s.s@Money Line - Draw no Bet
51@s.s@Winning Margins Rugby Union@s.s@Winning Margins@s.s@5@s.s@Rugby League@s.s@1224240@s.s@Winning Margin - Winning Margin
51@s.s@Winning Margins Rugby Union@s.s@Winning Margins@s.s@5@s.s@Rugby League@s.s@1224242@s.s@Winning Margin - Winning Margin (10 point bands)
3@s.s@2-way@s.s@Draw no bet@s.s@1@s.s@Football@s.s@702391@s.s@Match - Draw no bet
94@s.s@Championship outright@s.s@Championship outright@s.s@10@s.s@Golf@s.s@702313@s.s@Winner - Winner
24@s.s@Minute interval the first goal is scored in@s.s@1st goal scored - Minute interval@s.s@1@s.s@Football@s.s@1078850@s.s@Goals - Time of first match goal
41@s.s@total spreads over/under@s.s@Total points over/under@s.s@2@s.s@Basketball@s.s@702324@s.s@Over Under - Total Points (Inc. OT)
40@s.s@Total points odd/even@s.s@Total points odd/even@s.s@2@s.s@Basketball@s.s@702341@s.s@More Markets - Total Points - Odd/Even (Inc. OT)
42@s.s@Point spread (handicap)@s.s@Handicap@s.s@2@s.s@Basketball@s.s@1277287@s.s@Handicap - Handicap 1X2 (Inc. OT)
44@s.s@First half 1x2@s.s@First half winner (1X2)@s.s@2@s.s@Basketball@s.s@702328@s.s@1st Half - 1st Half Result
169@s.s@1st half points@s.s@1st half points@s.s@2@s.s@Basketball@s.s@702330@s.s@1st Half - 1st Half Total Points
26@s.s@1st half points odd/even@s.s@1st half points odd/even@s.s@2@s.s@Basketball@s.s@702331@s.s@1st Half - 1st Half Total Points - Odd/Even
184@s.s@1st Quarter Draw No Bet@s.s@1st Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@702332@s.s@1st Quarter - 1st Quarter Winner
32@s.s@1st quarter winner@s.s@1st quarter winner@s.s@2@s.s@Basketball@s.s@702333@s.s@1st Quarter - 1st Quarter Result
165@s.s@1st Quarter Points@s.s@1st Quarter Points@s.s@2@s.s@Basketball@s.s@702335@s.s@1st Quarter - 1st Quarter Total Points
172@s.s@Result - Halftime and Full time@s.s@Result - Halftime and Full time@s.s@2@s.s@Basketball@s.s@702337@s.s@More Markets - Halftime / Fulltime (exc. OT)
86@s.s@3-way@s.s@Winner@s.s@7@s.s@Boxing@s.s@922835@s.s@Match Winner - Winner
21@s.s@Double bet chance@s.s@Double bet chance@s.s@1@s.s@Football@s.s@702390@s.s@Match - Double chance
27@s.s@2nd half points odd/even@s.s@2nd half points odd/even@s.s@2@s.s@Basketball@s.s@704761@s.s@2nd Half - 2nd Half Total Points - Odd/Even
10@s.s@Both teams to score@s.s@Both teams to score@s.s@1@s.s@Football@s.s@704178@s.s@Match - Both Teams To Score
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199964@s.s@Winner - AL Central Champion
200@s.s@Championship outright@s.s@Championship outright@s.s@44@s.s@Baseball@s.s@1199963@s.s@Winner - National League Champion
28@s.s@1st quarter odd/even@s.s@1st quarter odd/even@s.s@2@s.s@Basketball@s.s@702336@s.s@1st Quarter - 1st Quarter Total Points - Odd/Even
198@s.s@Runs over/under@s.s@Total runs over/under@s.s@44@s.s@Baseball@s.s@703873@s.s@Number of Runs - Number of Runs (Incl Extra Innings)
199@s.s@Total runs odd/even@s.s@Total runs odd/even@s.s@44@s.s@Baseball@s.s@958018@s.s@Odd or Even - Odd or Even Number of Runs
210@s.s@Both teams to score@s.s@Both teams to score@s.s@44@s.s@Baseball@s.s@958023@s.s@Special Markets - Both Teams To Score (Incl Extra Innings)
