8730@s.s@Walt Harris@s.s@29@s.s@MMA-UFC@s.s@324097@s.s@Walt Harris
8613@s.s@Khabib Nurmagomedov@s.s@29@s.s@MMA-UFC@s.s@324120@s.s@Khabib Nurmagomedov
8654@s.s@Marlon Vera@s.s@29@s.s@MMA-UFC@s.s@324132@s.s@Marlon Vera
8744@s.s@Michelle Waterson@s.s@29@s.s@MMA-UFC@s.s@324077@s.s@Michelle Waterson
8721@s.s@Nikita Krylov@s.s@29@s.s@MMA-UFC@s.s@324105@s.s@Nikita Krylov
8645@s.s@Raphael Assuncao@s.s@29@s.s@MMA-UFC@s.s@324102@s.s@Raphael Assuncao
8661@s.s@Renato Moicano@s.s@29@s.s@MMA-UFC@s.s@324080@s.s@Renato Moicano
8614@s.s@Henry Cejudo@s.s@29@s.s@MMA-UFC@s.s@324084@s.s@Henry Cejudo
8727@s.s@Jairzinho Rozenstruik@s.s@29@s.s@MMA-UFC@s.s@324139@s.s@Jairzinho Rozenstruik
8662@s.s@Jeremy Stephens@s.s@29@s.s@MMA-UFC@s.s@324099@s.s@Jeremy Stephens
18415@s.s@Sam Alvey@s.s@29@s.s@MMA-UFC@s.s@324089@s.s@Sam Alvey
8737@s.s@Jessica Andrade@s.s@29@s.s@MMA-UFC@s.s@324142@s.s@Jessica Andrade
8754@s.s@Joanne Calderwood@s.s@29@s.s@MMA-UFC@s.s@324117@s.s@Joanne Calderwood
8718@s.s@Johnny Walker@s.s@29@s.s@MMA-UFC@s.s@324104@s.s@Johnny Walker
8648@s.s@Jose Aldo@s.s@29@s.s@MMA-UFC@s.s@324085@s.s@Jose Aldo
8628@s.s@Jussier Formiga@s.s@29@s.s@MMA-UFC@s.s@324082@s.s@Jussier Formiga
8723@s.s@Francis Ngannou@s.s@29@s.s@MMA-UFC@s.s@324138@s.s@Francis Ngannou
18416@s.s@Ryan Spann@s.s@29@s.s@MMA-UFC@s.s@324091@s.s@Ryan Spann
18409@s.s@Yorgan Castro@s.s@29@s.s@MMA-UFC@s.s@324155@s.s@Yorgan De Castro
18410@s.s@Fabricio Werdum@s.s@29@s.s@MMA-UFC@s.s@324156@s.s@Fabricio Werdum
18408@s.s@Greg Hardy@s.s@29@s.s@MMA-UFC@s.s@324154@s.s@Greg Hardy
4784@s.s@Viktor Hovland@s.s@10@s.s@Golf@s.s@324231@s.s@Viktor Hovland
