22@s.s@Tennis@s.s@8125@s.s@A.-L. Friedsam@s.s@0
22@s.s@Tennis@s.s@7918@s.s@K. Skupski@s.s@0
22@s.s@Tennis@s.s@8123@s.s@K. Siniakova@s.s@0
22@s.s@Tennis@s.s@8122@s.s@B. Krejcikova@s.s@0
22@s.s@Tennis@s.s@8120@s.s@Kr. Pliskova@s.s@0
22@s.s@Tennis@s.s@8108@s.s@S. Zheng@s.s@0
22@s.s@Tennis@s.s@8110@s.s@H. Carter@s.s@0
22@s.s@Tennis@s.s@8111@s.s@L. Stefani@s.s@0
22@s.s@Tennis@s.s@7888@s.s@A. Vasilevski@s.s@0
22@s.s@Tennis@s.s@8113@s.s@Y.-H. Lee@s.s@0
22@s.s@Tennis@s.s@7920@s.s@G. Barrere@s.s@0
22@s.s@Tennis@s.s@7921@s.s@A. Mannarino@s.s@0
22@s.s@Tennis@s.s@8114@s.s@F.-H. Wu@s.s@0
22@s.s@Tennis@s.s@4458@s.s@D. Jurak@s.s@0
22@s.s@Tennis@s.s@4460@s.s@L. Hradecka@s.s@0
22@s.s@Tennis@s.s@4461@s.s@A. Klepac@s.s@0
22@s.s@Tennis@s.s@4462@s.s@Arnya Sabalenka@s.s@0
22@s.s@Tennis@s.s@4406@s.s@Feliciano Lopez@s.s@0
22@s.s@Tennis@s.s@8003@s.s@S. Johnson@s.s@0
22@s.s@Tennis@s.s@7999@s.s@B. Paire@s.s@0
22@s.s@Tennis@s.s@7998@s.s@S. Bolelli@s.s@0
22@s.s@Tennis@s.s@8005@s.s@S. Querrey@s.s@0
22@s.s@Tennis@s.s@7771@s.s@Karen Khachanov@s.s@0
22@s.s@Tennis@s.s@7994@s.s@N. Mahut@s.s@0
22@s.s@Tennis@s.s@7772@s.s@Aljaz Bedene@s.s@0
22@s.s@Tennis@s.s@7993@s.s@P.-H. Herbert@s.s@0
22@s.s@Tennis@s.s@7990@s.s@F. Martin@s.s@0
22@s.s@Tennis@s.s@7989@s.s@M. Gonzalez@s.s@0
22@s.s@Tennis@s.s@4405@s.s@Benoit Paire@s.s@0
22@s.s@Tennis@s.s@7763@s.s@Fabio Fognini@s.s@0
22@s.s@Tennis@s.s@7762@s.s@Jordan Thompson@s.s@0
22@s.s@Tennis@s.s@7761@s.s@Roberto Bautista@s.s@0
22@s.s@Tennis@s.s@7760@s.s@Michael Mmoh@s.s@0
22@s.s@Tennis@s.s@4463@s.s@Simona Halep@s.s@0
22@s.s@Tennis@s.s@4465@s.s@N. Melichar@s.s@0
22@s.s@Tennis@s.s@7773@s.s@Ernests Gulbis@s.s@0
22@s.s@Tennis@s.s@7758@s.s@Dusan Lajovic@s.s@0
22@s.s@Tennis@s.s@7756@s.s@Marc Polmans@s.s@0
22@s.s@Tennis@s.s@7755@s.s@Grigor Dimitrov@s.s@0
22@s.s@Tennis@s.s@7774@s.s@Andreas Seppi@s.s@0
22@s.s@Tennis@s.s@7776@s.s@Stan Wawrinka@s.s@0
22@s.s@Tennis@s.s@7754@s.s@Tennys Sandgren@s.s@0
22@s.s@Tennis@s.s@7753@s.s@Matteo Berrettini@s.s@0
22@s.s@Tennis@s.s@4404@s.s@John Millman@s.s@0
22@s.s@Tennis@s.s@7930@s.s@T. Fritz@s.s@0
22@s.s@Tennis@s.s@4466@s.s@Y. Xu@s.s@0
22@s.s@Tennis@s.s@4403@s.s@T. Puetz@s.s@0
22@s.s@Tennis@s.s@7932@s.s@T. Paul@s.s@0
22@s.s@Tennis@s.s@4402@s.s@F. Nielsen@s.s@0
22@s.s@Tennis@s.s@4468@s.s@S. Kenin@s.s@0
22@s.s@Tennis@s.s@7936@s.s@J. S. Cabal@s.s@0
22@s.s@Tennis@s.s@7938@s.s@J. Munar@s.s@0
22@s.s@Tennis@s.s@7951@s.s@C. O´Connell@s.s@0
22@s.s@Tennis@s.s@7941@s.s@S. Arends@s.s@0
22@s.s@Tennis@s.s@7943@s.s@R. Berankis@s.s@0
22@s.s@Tennis@s.s@4469@s.s@B. Mattek-Sands@s.s@0
22@s.s@Tennis@s.s@4470@s.s@Belinda Bencic@s.s@0
22@s.s@Tennis@s.s@4471@s.s@Danielle Collins@s.s@0
22@s.s@Tennis@s.s@4472@s.s@Ashleigh Barty@s.s@0
22@s.s@Tennis@s.s@4400@s.s@P. Oswald@s.s@0
22@s.s@Tennis@s.s@4399@s.s@M. Daniell@s.s@0
22@s.s@Tennis@s.s@4396@s.s@Ugo Humbert@s.s@0
22@s.s@Tennis@s.s@4397@s.s@Denis Shapovalov@s.s@0
22@s.s@Tennis@s.s@4395@s.s@John Isner@s.s@0
22@s.s@Tennis@s.s@7947@s.s@J. Duckworth@s.s@0
