412@s.s@Braga@s.s@1@s.s@Football@s.s@594@s.s@Braga
6837@s.s@BALLERINI Davide@s.s@9@s.s@Cycling@s.s@13132@s.s@Davide Ballerini
6867@s.s@VAN POPPEL Danny@s.s@9@s.s@Cycling@s.s@13143@s.s@Danny Van Poppel
6817@s.s@BOL Cees@s.s@9@s.s@Cycling@s.s@13123@s.s@Cees Bol
6763@s.s@COQUARD Bryan@s.s@9@s.s@Cycling@s.s@13147@s.s@Bryan Coquard
6776@s.s@DÉMARE Arnaud@s.s@9@s.s@Cycling@s.s@13108@s.s@Arnaud Demare
6934@s.s@GOUGEARD Alexis@s.s@9@s.s@Cycling@s.s@13124@s.s@Alexis Gougeard
7206@s.s@La Rochelle@s.s@4@s.s@Rugby Union@s.s@3679@s.s@La Rochelle
1618@s.s@Saracens@s.s@4@s.s@Rugby Union@s.s@3680@s.s@Saracens
3061@s.s@Irina Bara@s.s@6@s.s@Tennis@s.s@7683@s.s@ Bara
7207@s.s@Racing 92@s.s@4@s.s@Rugby Union@s.s@3681@s.s@Racing 92
1628@s.s@Munster@s.s@4@s.s@Rugby Union@s.s@3682@s.s@Munster
1625@s.s@Ospreys@s.s@4@s.s@Rugby Union@s.s@3683@s.s@Ospreys
7208@s.s@Montpellier@s.s@4@s.s@Rugby Union@s.s@3684@s.s@Montpellier
1629@s.s@Connacht@s.s@4@s.s@Rugby Union@s.s@3685@s.s@Connacht
7209@s.s@Toulouse@s.s@4@s.s@Rugby Union@s.s@3686@s.s@Toulouse
1609@s.s@Gloucester@s.s@4@s.s@Rugby Union@s.s@3687@s.s@Gloucester
1620@s.s@Ulster@s.s@4@s.s@Rugby Union@s.s@3688@s.s@Ulster Rugby
1612@s.s@Bath@s.s@4@s.s@Rugby Union@s.s@3689@s.s@Bath
449@s.s@Novak Djokovic@s.s@6@s.s@Tennis@s.s@3690@s.s@Novak Djokovic
434@s.s@Roger Federer@s.s@6@s.s@Tennis@s.s@3691@s.s@Roger Federer
478@s.s@Rafael Nadal@s.s@6@s.s@Tennis@s.s@3692@s.s@Rafael Nadal
459@s.s@Stefanos Tsitsipas@s.s@6@s.s@Tennis@s.s@3693@s.s@Stefanos Tsitsipas
497@s.s@Milos Raonic@s.s@6@s.s@Tennis@s.s@3694@s.s@Milos Raonic
234@s.s@Vitória Setúbal@s.s@1@s.s@Football@s.s@2413@s.s@Setubal
226@s.s@Rio Ave@s.s@1@s.s@Football@s.s@2414@s.s@Rio Ave
442@s.s@Alexander Zverev@s.s@6@s.s@Tennis@s.s@3695@s.s@Alexander Zverev
495@s.s@Marin Cilic@s.s@6@s.s@Tennis@s.s@3696@s.s@Marin Cilic
435@s.s@Dominic Thiem@s.s@6@s.s@Tennis@s.s@3697@s.s@Dominic Thiem
1744@s.s@Kevin Anderson@s.s@6@s.s@Tennis@s.s@3698@s.s@Kevin Anderson
492@s.s@Nick Kyrgios@s.s@6@s.s@Tennis@s.s@3699@s.s@Nick Kyrgios
477@s.s@Kei Nishikori@s.s@6@s.s@Tennis@s.s@3700@s.s@Kei Nishikori
489@s.s@Juan Martin del Potro@s.s@6@s.s@Tennis@s.s@3701@s.s@Juan Martin Del Potro
441@s.s@Stan Wawrinka@s.s@6@s.s@Tennis@s.s@3702@s.s@Stan Wawrinka
462@s.s@David Goffin@s.s@6@s.s@Tennis@s.s@3703@s.s@David Goffin
463@s.s@Borna Coric@s.s@6@s.s@Tennis@s.s@3704@s.s@Borna Coric
476@s.s@Karen Khachanov@s.s@6@s.s@Tennis@s.s@3705@s.s@Karen Khachanov
490@s.s@Roberto Bautista@s.s@6@s.s@Tennis@s.s@3707@s.s@Roberto Bautista Agut
475@s.s@Grigor Dimitrov@s.s@6@s.s@Tennis@s.s@3708@s.s@Grigor Dimitrov
473@s.s@Sam Querrey@s.s@6@s.s@Tennis@s.s@3709@s.s@Sam Querrey
496@s.s@Gael Monfils@s.s@6@s.s@Tennis@s.s@3710@s.s@Gael Monfils
443@s.s@Matteo Berrettini@s.s@6@s.s@Tennis@s.s@3711@s.s@Matteo Berrettini
483@s.s@Jo-Wilfried Tsonga@s.s@6@s.s@Tennis@s.s@3712@s.s@Jo-Wilfried Tsonga
461@s.s@Guido Pella@s.s@6@s.s@Tennis@s.s@3713@s.s@Guido Pella
465@s.s@Frances Tiafoe@s.s@6@s.s@Tennis@s.s@3714@s.s@Frances Tiafoe
464@s.s@Fabio Fognini@s.s@6@s.s@Tennis@s.s@3715@s.s@Fabio Fognini
500@s.s@Andy Murray@s.s@6@s.s@Tennis@s.s@3716@s.s@Andy Murray
458@s.s@Taylor  Fritz@s.s@6@s.s@Tennis@s.s@3717@s.s@Taylor Harry Fritz
