13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@80392@s.s@1X2 Handicap 0:7
36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@6740@s.s@Ganador 1ª Mitad (sin empate)
89@s.s@Number of rounds@s.s@Number of rounds@s.s@7@s.s@Boxing@s.s@34467@s.s@Número de Asaltos
183@s.s@Double chance@s.s@Double chance@s.s@38@s.s@Handball@s.s@41640@s.s@Doble Oportunidad
157@s.s@1st half winner@s.s@1st half winner@s.s@38@s.s@Handball@s.s@41635@s.s@1X2 al Descanso
147@s.s@Winner@s.s@Winner@s.s@38@s.s@Handball@s.s@41637@s.s@Resultado Del Partido
146@s.s@Total Goals over/under@s.s@Total Goals over/under@s.s@38@s.s@Handball@s.s@41638@s.s@Más/Menos Total Goles
171@s.s@Overtime@s.s@Overtime@s.s@2@s.s@Basketball@s.s@54282@s.s@¿Habrá Prórroga?
176@s.s@Handicap@s.s@Handicap@s.s@11@s.s@American Football@s.s@1000708@s.s@Hándicap
29@s.s@2nd quarter odd/even@s.s@2nd quarter odd/even@s.s@2@s.s@Basketball@s.s@48992@s.s@2º Cuarto total de puntos par/impar
33@s.s@2nd quarter winner@s.s@2nd quarter winner@s.s@2@s.s@Basketball@s.s@48994@s.s@2º Cuarto ganador (sin empate)
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@40781@s.s@Par/Impar Total de Goles
174@s.s@Stage Winner@s.s@Stage Winner@s.s@9@s.s@Cycling@s.s@215430@s.s@Ganador de la Etapa
16@s.s@Championship outright@s.s@Championship outright@s.s@1@s.s@Football@s.s@6517@s.s@Campeón
26@s.s@1st half points odd/even@s.s@1st half points odd/even@s.s@2@s.s@Basketball@s.s@30459@s.s@Total de Puntos Par/Impar - 1ª Mitad
79@s.s@1st set winner@s.s@1st set winner@s.s@6@s.s@Tennis@s.s@8996@s.s@Ganador 1º Set
97@s.s@Winner@s.s@Winner@s.s@11@s.s@American Football@s.s@1000707@s.s@Ganador del Partido
21@s.s@Double bet chance@s.s@Double bet chance@s.s@1@s.s@Football@s.s@4726@s.s@Doble Oportunidad
87@s.s@2-way@s.s@Draw no bet@s.s@7@s.s@Boxing@s.s@387810@s.s@Ganador (sin empate)
162@s.s@Handicap (maps)@s.s@Handicap (maps)@s.s@14@s.s@E-Sports@s.s@485260@s.s@Handicap (Sin Empate)
5@s.s@First half result@s.s@1st half result@s.s@1@s.s@Football@s.s@46200@s.s@1X2 al Descanso 
153@s.s@Number of rounds@s.s@Number of rounds@s.s@29@s.s@MMA-UFC@s.s@77553@s.s@Número de Asaltos
82@s.s@Total games over/under@s.s@Total games over/under@s.s@6@s.s@Tennis@s.s@41583@s.s@Más/Menos Juegos Totales
24@s.s@Minute interval the first goal is scored in@s.s@1st goal scored - Minute interval@s.s@1@s.s@Football@s.s@39556@s.s@¿Cuándo se Marca el 1er gol? (fuente uefa.com)
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@265489@s.s@1X2 Handicap 5:0
162@s.s@Handicap (maps)@s.s@Handicap (maps)@s.s@14@s.s@E-Sports@s.s@485084@s.s@Handicap
162@s.s@Handicap (maps)@s.s@Handicap (maps)@s.s@14@s.s@E-Sports@s.s@484546@s.s@Handicap (por mapas)
26@s.s@1st half points odd/even@s.s@1st half points odd/even@s.s@2@s.s@Basketball@s.s@31714@s.s@Total Puntos Par/Impar 1ª Mitad
169@s.s@1st half points@s.s@1st half points@s.s@2@s.s@Basketball@s.s@26766@s.s@Total de Puntos 1ª Mitad
170@s.s@2nd half points@s.s@2nd half points@s.s@2@s.s@Basketball@s.s@31856@s.s@Total de Puntos 2º Mitad (Prórroga Incluida)
165@s.s@1st Quarter Points@s.s@1st Quarter Points@s.s@2@s.s@Basketball@s.s@30544@s.s@Total de Puntos 1º Cuarto
33@s.s@2nd quarter winner@s.s@2nd quarter winner@s.s@2@s.s@Basketball@s.s@31326@s.s@Total de Puntos 2º Cuarto
37@s.s@2nd time result@s.s@2nd half Winner@s.s@2@s.s@Basketball@s.s@31855@s.s@Ganador 2º Mitad (Sin Empate) (Prórroga Incluida)
173@s.s@Total sets - over/under@s.s@Total sets - over/under@s.s@6@s.s@Tennis@s.s@467194@s.s@Total de sets Más/Menos
182@s.s@Championship outright@s.s@Championship outright@s.s@38@s.s@Handball@s.s@164351@s.s@Campeón
160@s.s@Total Goals - odd/even@s.s@Total Goals - odd/even@s.s@38@s.s@Handball@s.s@41636@s.s@Par/Impar Total Goles
26@s.s@1st half points odd/even@s.s@1st half points odd/even@s.s@2@s.s@Basketball@s.s@48430@s.s@Total de puntos en la 1ª Mitad par/impar
187@s.s@4th Quarter Draw No Bet@s.s@4th Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@6750@s.s@Ganador 4º Cuarto (sin empate)
190@s.s@Games Handicap@s.s@Games Handicap@s.s@39@s.s@Table Tennis@s.s@495629@s.s@Handicap por Juegos (Sin empate)
189@s.s@Points Over/Under@s.s@Points Over/Under@s.s@39@s.s@Table Tennis@s.s@583470@s.s@Total de Puntos Más/Menos
34@s.s@3rd quarter winner@s.s@3rd quarter winner@s.s@2@s.s@Basketball@s.s@6749@s.s@Ganador 3er Cuarto (sin empate)
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@19384@s.s@Ganador de la Partida
39@s.s@Winner 2 way@s.s@Winner@s.s@2@s.s@Basketball@s.s@26759@s.s@Ganador del Partido
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@20393@s.s@Resultado Final por Mapas
60@s.s@3-way@s.s@Winner@s.s@4@s.s@Rugby Union@s.s@9003@s.s@1X2
82@s.s@Total games over/under@s.s@Total games over/under@s.s@6@s.s@Tennis@s.s@9000@s.s@Total de Juegos Más/Menos
15@s.s@Matchbet + both teams to score@s.s@Winner + Both teams to score@s.s@1@s.s@Football@s.s@6495@s.s@1X2 y Marcan Ambos Equipos
197@s.s@Runs handicap@s.s@Runs handicap@s.s@44@s.s@Baseball@s.s@657451@s.s@Handicap (Sin empate)
25@s.s@Quarter with most points@s.s@Quarter with most points@s.s@2@s.s@Basketball@s.s@1335894@s.s@Cuarto en que se anota más puntos
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@47912@s.s@1X2 Handicap 0:4
42@s.s@Point spread (handicap)@s.s@Handicap@s.s@2@s.s@Basketball@s.s@6759@s.s@Hándicap
36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@48428@s.s@Ganador 1ª mitad (sin empate)
171@s.s@Overtime@s.s@Overtime@s.s@2@s.s@Basketball@s.s@35243@s.s@¿Habrá Prorroga?
167@s.s@3rd Quarter Points@s.s@3rd Quarter Points@s.s@2@s.s@Basketball@s.s@32778@s.s@Más/Menos Puntos Totales 3er Cuarto
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@8995@s.s@Ganador del partido
69@s.s@Half time results@s.s@Half time results@s.s@4@s.s@Rugby Union@s.s@14139@s.s@1X2 al Descanso
39@s.s@Winner 2 way@s.s@Winner@s.s@2@s.s@Basketball@s.s@6738@s.s@Ganador del partido
78@s.s@Total games odd/even@s.s@Total games odd/even@s.s@6@s.s@Tennis@s.s@8994@s.s@Par/Impar Juegos Totales
48@s.s@3-way@s.s@Winner@s.s@5@s.s@Rugby League@s.s@451038@s.s@1X2 Resultado del Partido
188@s.s@Match Winner@s.s@Match Winner@s.s@39@s.s@Table Tennis@s.s@42823@s.s@Ganador del partido
100@s.s@Race winner (pilot)@s.s@Race winner@s.s@12@s.s@Formula 1@s.s@134571@s.s@Ganador de la carrera
193@s.s@1st Game Winner@s.s@1st Game Winner@s.s@39@s.s@Table Tennis@s.s@495782@s.s@Ganador del Juego 1
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@4730@s.s@Par/Impar Total Goles
40@s.s@Total points odd/even@s.s@Total points odd/even@s.s@2@s.s@Basketball@s.s@6739@s.s@Total de Puntos - Par/Impar
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@40782@s.s@1X2 Handicap 0:2
76@s.s@Correct score@s.s@Correct score@s.s@6@s.s@Tennis@s.s@8999@s.s@Resultado final (por sets)
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@42797@s.s@1X2 Handicap 1:0
56@s.s@Half time/full time results@s.s@Half time/full time results@s.s@5@s.s@Rugby League@s.s@460630@s.s@Resultado 1ª y 2ª parte
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@4727@s.s@1X2
24@s.s@Minute interval the first goal is scored in@s.s@1st goal scored - Minute interval@s.s@1@s.s@Football@s.s@8755@s.s@¿Cuándo se Marca el 1er gol? (fuente rfef.es)
147@s.s@Winner@s.s@Winner@s.s@38@s.s@Handball@s.s@42804@s.s@1X2 Resultado del Partido
160@s.s@Total Goals - odd/even@s.s@Total Goals - odd/even@s.s@38@s.s@Handball@s.s@42803@s.s@Total de Goles - Par/Impar
196@s.s@Match Winner@s.s@Match Winner@s.s@44@s.s@Baseball@s.s@58841@s.s@Ganador del Partido
198@s.s@Runs over/under@s.s@Total runs over/under@s.s@44@s.s@Baseball@s.s@585186@s.s@Más/Menos Total de Carreras
109@s.s@Double bet chance@s.s@Double bet chance@s.s@14@s.s@E-Sports@s.s@1035701@s.s@Doble Oportunidad
32@s.s@1st quarter winner@s.s@1st quarter winner@s.s@2@s.s@Basketball@s.s@48436@s.s@1º Cuarto ganador (sin empate)
28@s.s@1st quarter odd/even@s.s@1st quarter odd/even@s.s@2@s.s@Basketball@s.s@48433@s.s@1º Cuarto total de puntos par/impar
165@s.s@1st Quarter Points@s.s@1st Quarter Points@s.s@2@s.s@Basketball@s.s@48431@s.s@1º Cuarto total de puntos Más/Menos
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@46202@s.s@1X2 Handicap 0:3
86@s.s@3-way@s.s@Winner@s.s@7@s.s@Boxing@s.s@1252161@s.s@1X2 Resultado del combate
146@s.s@Total Goals over/under@s.s@Total Goals over/under@s.s@38@s.s@Handball@s.s@42805@s.s@Total de goles Más/Menos 
42@s.s@Point spread (handicap)@s.s@Handicap@s.s@2@s.s@Basketball@s.s@6747@s.s@Handicap (sin empate)
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@133613@s.s@1X2 Handicap 4:0
84@s.s@Total number of sets@s.s@Total number of sets@s.s@6@s.s@Tennis@s.s@11296@s.s@Total de Sets
177@s.s@Total Points@s.s@Total Points@s.s@11@s.s@American Football@s.s@1002038@s.s@Total de Puntos Más/Menos
198@s.s@Runs over/under@s.s@Total runs over/under@s.s@44@s.s@Baseball@s.s@68488@s.s@Total de Carreras Más/Menos
57@s.s@Half time results@s.s@Half time results@s.s@5@s.s@Rugby League@s.s@460280@s.s@1X2 al Descanso
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@134520@s.s@1X2 Handicap 0:8
185@s.s@2nd Quarter Draw No Bet@s.s@2nd Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@6748@s.s@Ganador 2º Cuarto (sin empate)
44@s.s@First half 1x2@s.s@First half winner (1X2)@s.s@2@s.s@Basketball@s.s@6743@s.s@1X2 1ª Mitad
101@s.s@Race winner (team)@s.s@Race winner (team)@s.s@12@s.s@Formula 1@s.s@226473@s.s@Equipo del piloto ganador de la carrera
99@s.s@Outright winner (team)@s.s@Outright winner (team)@s.s@12@s.s@Formula 1@s.s@41679@s.s@Ganador
4@s.s@Totals@s.s@Goals - over/under@s.s@1@s.s@Football@s.s@4725@s.s@Más/Menos Total Goles
74@s.s@Game Handicap@s.s@Game Handicap@s.s@6@s.s@Tennis@s.s@9002@s.s@Hándicap por Juegos
128@s.s@First team to score@s.s@First team to score@s.s@4@s.s@Rugby Union@s.s@32245@s.s@Primer equipo en marcar
67@s.s@Total points@s.s@Total points@s.s@4@s.s@Rugby Union@s.s@33153@s.s@Más/Menos Puntos Totales
79@s.s@1st set winner@s.s@1st set winner@s.s@6@s.s@Tennis@s.s@9059@s.s@Ganador del Set 1
197@s.s@Runs handicap@s.s@Runs handicap@s.s@44@s.s@Baseball@s.s@585187@s.s@Hándicap (sin empate)
150@s.s@Winner 2 way@s.s@Winner 2 way@s.s@29@s.s@MMA-UFC@s.s@41677@s.s@Ganador del combate
6@s.s@Halftime + Full time result@s.s@Result - Halftime and Full time@s.s@1@s.s@Football@s.s@4746@s.s@Resultado 1ª y 2ª Parte
10@s.s@Both teams to score@s.s@Both teams to score@s.s@1@s.s@Football@s.s@4724@s.s@Marcan Ambos Equipos
200@s.s@Championship outright@s.s@Championship outright@s.s@44@s.s@Baseball@s.s@41603@s.s@Ganador
184@s.s@1st Quarter Draw No Bet@s.s@1st Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@6742@s.s@Ganador 1er Cuarto (sin empate)
3@s.s@2-way@s.s@Draw no bet@s.s@1@s.s@Football@s.s@4723@s.s@Apuesta Sin Empate
167@s.s@3rd Quarter Points@s.s@3rd Quarter Points@s.s@2@s.s@Basketball@s.s@49749@s.s@3º Cuarto total de puntos Más/Menos
166@s.s@2nd Quarter Points@s.s@2nd Quarter Points@s.s@2@s.s@Basketball@s.s@48993@s.s@2º Cuarto total de puntos Más/Menos
68@s.s@Half time/full time results@s.s@Half time/full time results@s.s@4@s.s@Rugby Union@s.s@14141@s.s@Resultado 1ª y 2ª parte
197@s.s@Runs handicap@s.s@Runs handicap@s.s@44@s.s@Baseball@s.s@67743@s.s@Handicap (Sin Empate)
66@s.s@Total tries@s.s@Total tries@s.s@4@s.s@Rugby Union@s.s@73756@s.s@Total de Ensayos Más/Menos
41@s.s@total spreads over/under@s.s@Total points over/under@s.s@2@s.s@Basketball@s.s@6736@s.s@Más/Menos Puntos Totales
11@s.s@To qualify (Knock-out stage)@s.s@To qualify (Knock-out stage)@s.s@1@s.s@Football@s.s@6493@s.s@Clasificarse
61@s.s@Point spread (handicap)@s.s@Handicap@s.s@4@s.s@Rugby Union@s.s@26807@s.s@Handicap (sin empate)
16@s.s@Championship outright@s.s@Championship outright@s.s@1@s.s@Football@s.s@40740@s.s@Campeón Real Madrid
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@40779@s.s@Más/Menos Total de Goles
153@s.s@Number of rounds@s.s@Number of rounds@s.s@29@s.s@MMA-UFC@s.s@1252180@s.s@Más/Menos Asaltos
166@s.s@2nd Quarter Points@s.s@2nd Quarter Points@s.s@2@s.s@Basketball@s.s@32656@s.s@Más/Menos Puntos Totales 2º Cuarto
76@s.s@Correct score@s.s@Correct score@s.s@6@s.s@Tennis@s.s@41581@s.s@Resultado final del partido (por sets)
77@s.s@1st set total@s.s@1st set total@s.s@6@s.s@Tennis@s.s@9001@s.s@Set 1 - Más/Menos Juegos Totales
161@s.s@Map 1 - Winner@s.s@Map 1 - Winner@s.s@14@s.s@E-Sports@s.s@34607@s.s@Ganador del Mapa 1
80@s.s@2nd set winner@s.s@2nd set winner@s.s@6@s.s@Tennis@s.s@8993@s.s@Ganador 2º Set
155@s.s@Handicap (no draw)@s.s@Handicap (no draw)@s.s@38@s.s@Handball@s.s@41639@s.s@Handicap (sin empate)
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@132174@s.s@1X2 Handicap 0:5
14@s.s@Asian Handicap@s.s@Asian Handicap@s.s@1@s.s@Football@s.s@30062@s.s@Hándicap Asiático
23@s.s@Penalty shootout yes o no@s.s@Penalty - yes/no@s.s@1@s.s@Football@s.s@8602@s.s@¿Habrá Penalti?
49@s.s@Point spread (handicap)@s.s@Handicap@s.s@5@s.s@Rugby League@s.s@451036@s.s@Handicap (sin empate)
77@s.s@1st set total@s.s@1st set total@s.s@6@s.s@Tennis@s.s@195674@s.s@Total Más/Menos Juegos Set 1
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@4728@s.s@1X2 Handicap
5@s.s@First half result@s.s@1st half result@s.s@1@s.s@Football@s.s@4736@s.s@1X2 al Descanso
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@4747@s.s@Resultado Final
46@s.s@Championship outright@s.s@Championship outright@s.s@2@s.s@Basketball@s.s@26806@s.s@Ganador
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@41580@s.s@Ganador
94@s.s@Championship outright@s.s@Championship outright@s.s@10@s.s@Golf@s.s@15605@s.s@Ganador
91@s.s@Championship outright@s.s@Championship outright@s.s@9@s.s@Cycling@s.s@215431@s.s@Ganador
55@s.s@Total points@s.s@Total points@s.s@5@s.s@Rugby League@s.s@451037@s.s@Más/Menos Puntos Totales
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@42793@s.s@1X2 Handicap 2:0
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@47562@s.s@1X2 Handicap 3:0
165@s.s@1st Quarter Points@s.s@1st Quarter Points@s.s@2@s.s@Basketball@s.s@29787@s.s@Más/Menos Puntos Totales 1er Cuarto
196@s.s@Match Winner@s.s@Match Winner@s.s@44@s.s@Baseball@s.s@585188@s.s@Ganador del partido
18@s.s@First team to score@s.s@1st team to score@s.s@1@s.s@Football@s.s@4738@s.s@Primer Equipo en Marcar
192@s.s@Correct Score@s.s@Correct Score@s.s@39@s.s@Table Tennis@s.s@495628@s.s@Resultado Final (por juegos)
94@s.s@Championship outright@s.s@Championship outright@s.s@10@s.s@Golf@s.s@15604@s.s@Ganador del Torneo
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@145783@s.s@1X2 Handicap 0:6
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@46871@s.s@1X2 Handicap 0:1
19@s.s@Last team to score@s.s@Last team to score@s.s@1@s.s@Football@s.s@4737@s.s@Último Equipo en Marcar
