8@s.s@Soccer@s.s@495982@s.s@Gilport Lions@s.s@0
8@s.s@Soccer@s.s@495983@s.s@Morupule Wanderers@s.s@0
8@s.s@Soccer@s.s@495984@s.s@Oskarshamns AIK@s.s@0
8@s.s@Soccer@s.s@495985@s.s@Almeboda Linneryd@s.s@0
8@s.s@Soccer@s.s@495986@s.s@Sandsbro AIK@s.s@0
8@s.s@Soccer@s.s@495987@s.s@Ingelstads IK@s.s@0
8@s.s@Soccer@s.s@495988@s.s@Tornado Minsk@s.s@0
8@s.s@Soccer@s.s@495989@s.s@Tut FC@s.s@0
8@s.s@Soccer@s.s@495991@s.s@Anorthosis Famagusta@s.s@0
8@s.s@Soccer@s.s@495992@s.s@Omonia Nicosia@s.s@0
8@s.s@Soccer@s.s@495994@s.s@Mauricio Pochettino@s.s@0
8@s.s@Soccer@s.s@495995@s.s@Massimiliano Allegri@s.s@0
8@s.s@Soccer@s.s@495996@s.s@Brendan Rodgers@s.s@0
8@s.s@Soccer@s.s@495997@s.s@Ralf Rangnick@s.s@0
8@s.s@Soccer@s.s@495998@s.s@Laurent Blanc@s.s@0
8@s.s@Soccer@s.s@495999@s.s@Michael Carrick@s.s@0
8@s.s@Soccer@s.s@496000@s.s@Gareth Southgate@s.s@0
8@s.s@Soccer@s.s@496001@s.s@Julian Nagelsmann@s.s@0
8@s.s@Soccer@s.s@496002@s.s@Rafael Benitez@s.s@0
8@s.s@Soccer@s.s@496003@s.s@Arsene Wenger@s.s@0
8@s.s@Soccer@s.s@496004@s.s@Philip Neville@s.s@0
8@s.s@Soccer@s.s@496005@s.s@Luis Enrique@s.s@0
8@s.s@Soccer@s.s@496006@s.s@Eddie Howe@s.s@0
8@s.s@Soccer@s.s@496007@s.s@Nuno Espirito Santo@s.s@0
8@s.s@Soccer@s.s@496008@s.s@Zinedine Zidane@s.s@0
8@s.s@Soccer@s.s@496009@s.s@Carlo Ancelotti@s.s@0
8@s.s@Soccer@s.s@496010@s.s@Roy Keane@s.s@0
8@s.s@Soccer@s.s@496282@s.s@Hippodrome@s.s@0
8@s.s@Soccer@s.s@497147@s.s@MNK@s.s@0
8@s.s@Soccer@s.s@497148@s.s@Sbornaya Luny@s.s@0
8@s.s@Soccer@s.s@497149@s.s@Patriot Minsk@s.s@0
8@s.s@Soccer@s.s@497150@s.s@Urucca FC@s.s@0
8@s.s@Soccer@s.s@497151@s.s@RCOP 98@s.s@0
8@s.s@Soccer@s.s@497152@s.s@FC Stalitsa Minsk@s.s@0
8@s.s@Soccer@s.s@498310@s.s@Ljungby IF [W]@s.s@0
8@s.s@Soccer@s.s@498311@s.s@Alvesta [W]@s.s@0
8@s.s@Soccer@s.s@495964@s.s@Energetik-BGU Minsk@s.s@0
8@s.s@Soccer@s.s@497972@s.s@PSV [AM]@s.s@0
8@s.s@Soccer@s.s@499085@s.s@Rotor Volgograd II@s.s@0
8@s.s@Soccer@s.s@499139@s.s@Allerums GIF@s.s@0
8@s.s@Soccer@s.s@499140@s.s@Bjuvstorps FF@s.s@0
8@s.s@Soccer@s.s@499924@s.s@Juventus Managua@s.s@0
8@s.s@Soccer@s.s@499925@s.s@Deportivo Walter Ferretti@s.s@0
8@s.s@Soccer@s.s@499926@s.s@Chinandega FC@s.s@0
8@s.s@Soccer@s.s@499927@s.s@Managua@s.s@0
8@s.s@Soccer@s.s@499928@s.s@Real Madriz@s.s@0
8@s.s@Soccer@s.s@499929@s.s@ART Municipal Jalapa@s.s@0
8@s.s@Soccer@s.s@499930@s.s@Deportivo Ocotal@s.s@0
8@s.s@Soccer@s.s@499931@s.s@Real Esteli@s.s@0
8@s.s@Soccer@s.s@499932@s.s@Las Sabanas FC@s.s@0
8@s.s@Soccer@s.s@499933@s.s@Diriangen@s.s@0
8@s.s@Soccer@s.s@502450@s.s@Curva Nord@s.s@0
8@s.s@Soccer@s.s@502451@s.s@Traktor@s.s@0
8@s.s@Soccer@s.s@502476@s.s@Inter Stars@s.s@0
8@s.s@Soccer@s.s@502477@s.s@Ngozi City@s.s@0
8@s.s@Soccer@s.s@502478@s.s@Rukinzo@s.s@0
8@s.s@Soccer@s.s@502479@s.s@Musongati@s.s@0
8@s.s@Soccer@s.s@503045@s.s@Kuban Holding@s.s@0
8@s.s@Soccer@s.s@503046@s.s@FC Chita@s.s@0
8@s.s@Soccer@s.s@503749@s.s@Smena Kazan@s.s@0
8@s.s@Soccer@s.s@503750@s.s@Dinamo-18 Kazan@s.s@0
8@s.s@Soccer@s.s@503751@s.s@FC Odintsovo@s.s@0
8@s.s@Soccer@s.s@503752@s.s@Torpedo Zhavoronki@s.s@0
8@s.s@Soccer@s.s@504612@s.s@Markaryds IF@s.s@0
8@s.s@Soccer@s.s@504613@s.s@Delary / Pjatteryd@s.s@0
8@s.s@Soccer@s.s@504614@s.s@Delary @s.s@0
8@s.s@Soccer@s.s@504615@s.s@ Pjatteryd@s.s@0
8@s.s@Soccer@s.s@504616@s.s@Police Tero@s.s@0
8@s.s@Soccer@s.s@504617@s.s@Lampang FC@s.s@0
8@s.s@Soccer@s.s@506003@s.s@Andraus Brasil@s.s@0
8@s.s@Soccer@s.s@506004@s.s@Serrano PB@s.s@0
8@s.s@Soccer@s.s@21004@s.s@Adelaide Olympic@s.s@0
8@s.s@Soccer@s.s@506340@s.s@Ajax [AM]@s.s@0
8@s.s@Soccer@s.s@506341@s.s@Feyenoord [AM]@s.s@0
8@s.s@Soccer@s.s@506974@s.s@Sparta Perm@s.s@0
8@s.s@Soccer@s.s@506975@s.s@Zelenka@s.s@0
8@s.s@Soccer@s.s@506976@s.s@Kaskad Perm@s.s@0
8@s.s@Soccer@s.s@506977@s.s@NTS Parma@s.s@0
8@s.s@Soccer@s.s@506978@s.s@Forvard@s.s@0
8@s.s@Soccer@s.s@550090@s.s@Urozhaynaya@s.s@0
8@s.s@Soccer@s.s@550091@s.s@Dynamo Living Air@s.s@0
8@s.s@Soccer@s.s@640744@s.s@Assyriska United IK@s.s@0
8@s.s@Soccer@s.s@560387@s.s@BK Sport@s.s@0
8@s.s@Soccer@s.s@560388@s.s@Raby-Rono IF@s.s@0
8@s.s@Soccer@s.s@560389@s.s@Loberods IF@s.s@0
8@s.s@Soccer@s.s@560390@s.s@Billeberga GIF@s.s@0
8@s.s@Soccer@s.s@560391@s.s@Dannike IK@s.s@0
